,rf,rs,test-f1,train-f1,abs_diff
sim_8,0.35615733520672144,0.14099362654268865,0.012983640612827835,0.1362328110009594,0.12324917038813157
sim_63,0.24703839333756272,0.8789446705949361,0.009870129870129871,0.996556473829201,0.9866863439590711
sim_20,0.30558705122269003,0.29978978613086094,0.008842652795838754,0.48241729617087786,0.47357464337503913
sim_28,0.1110560519921252,0.9146971599381758,0.008819714656290533,0.9525350593311758,0.9437153446748853
sim_42,0.14384631397622138,0.974149668874657,0.007291666666666668,0.9953440248318676,0.9880523581652009
sim_17,0.1422308936138431,0.8891127255408304,0.006253256904637832,0.9906444906444904,0.9843912337398526
sim_11,0.10500785696356041,0.8180799622320758,0.005723204994797087,0.9164961874651292,0.9107729824703321
sim_31,0.20722591709881377,0.44305742364428535,0.0046923879040667365,0.6659033661552552,0.6612109782511885
sim_21,0.15807465719366876,0.6000125901693505,0.004173187271778821,0.8596594245449206,0.8554862372731418
sim_84,0.12865089724962442,0.7880907249082235,0.0036439354502863096,0.9258849557522124,0.9222410203019261
sim_94,0.2601906084232376,0.42039743024234055,0.0031323414252153485,0.6269149186896064,0.623782577264391
sim_43,0.1808525485611029,0.3712907851523881,0.0026109660574412533,0.5514669318746892,0.5488559658172479
sim_57,0.17302799428398408,0.3137629559337358,0.002089318359885087,0.443494523109805,0.4414052047499199
sim_68,0.12484927914005006,0.7113439683619521,0.0020876826722338203,0.8148901545972336,0.8128024719249998
sim_14,0.2526871272731316,0.11932125841470465,0.000522875816993464,0.02842639593908629,0.027903520122092827
sim_36,0.17783732894501403,0.049502683354998966,0.000522875816993464,0.004794520547945206,0.004271644730951742
sim_72,0.8730531413300759,0.007559418120357209,0.000522875816993464,0.0020547945205479454,0.0015319187035544813
sim_85,0.13178891207262589,0.3691792729734096,0.0,0.39989014007140894,0.39989014007140894
sim_92,0.1350738883434437,0.12866557490369235,0.0,0.0410221923335575,0.0410221923335575
sim_2,0.22958169391467376,0.11957836043315084,0.0,0.037723139104075445,0.037723139104075445
sim_77,0.40781524499328325,0.009791776665097007,0.0,0.0,0.0
sim_61,0.832791807203873,0.005460894612132283,0.0,0.0,0.0
sim_16,0.25482462501156744,0.004207894954809777,0.0,0.0,0.0
sim_26,0.35740342562342997,0.0055639083922722765,0.0,0.0,0.0
